,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
113,query_es2_8_8.q3.reads,query_es2_8_8,es2,q3.reads,fixed_1: v17,3,8,8,1419384.2444,1.4193842444,384.0,5175.983436853002,5175.983436853002,1987577.6397515528,0.0,1342642.5,1424014.4,1856426.2999999998,1943926.3,2231785.683333335,8,8,3840410.0,1252538.0,1932000000.0,0.0,10000.0,10000.0,3840000.0,1133897525903.0
114,query_es2_8_8.q4.reads,query_es2_8_8,es2,q4.reads,fixed_1: v10,4,8,8,2833264.1602,2.8332641601999997,376.0,2670.940170940171,2670.940170940171,1004273.5042735044,0.0,2636443.0,2758233.4000000004,3191301.899999998,4507540.199999999,4851996.700000003,8,8,8194399.0,2461784.0,3744000000.0,0.0,10000.0,10000.0,3760000.0,1149364209159.0
115,query_es2_8_8.q5.reads,query_es2_8_8,es2,q5.reads,fixed_1: v7,5,8,8,17304507.2344,17.3045072344,373.0,459.4954739695814,459.4954739695814,171391.81179065385,0.0,17179660.5,17440451.4,17641231.53333333,17897246.15,19939224.06666667,8,8,38303904.0,16480268.0,21763000000.0,0.0,10000.0,10000.0,3730000.0,1179440721365.0
116,query_es2_8_8.q6.reads,query_es2_8_8,es2,q6.reads,fixed_int: int_1,6,8,8,457906.19701,0.45790619700999996,0.0,14856.633486851879,0.0,0.0,0.0,446542.5,474604.0,488109.6333333333,540879.2499999997,729095.6633333333,8,8,11706404.0,383117.0,6731000000.0,0.0,100000.0,0.0,0.0,1357426098096.0
117,query_es2_8_8.q7.reads,query_es2_8_8,es2,q7.reads,fixed_int: int_10,7,8,8,582807.12919,0.5828071291899999,373.0,12414.649286157666,12414.649286157666,4630664.1837368095,0.0,570835.0,595811.0,618835.0,678729.2,839078.0866666664,8,8,2200695.0,508525.0,8055000000.0,0.0,100000.0,100000.0,37300000.0,1411633942256.0
118,query_es2_8_8.q8.reads,query_es2_8_8,es2,q8.reads,fixed_int: int_100,8,8,8,672036.47329,0.6720364732900002,373.0,10483.280268715826,10483.280268715826,3910263.540231003,0.0,656783.0,689809.6000000001,726766.0,796457.2,992137.0866666664,8,8,8545654.0,587130.0,9538999000.0,0.0,100000.0,100000.0,37300000.0,1477280250926.0
119,query_es2_8_8.q9.reads,query_es2_8_8,es2,q9.reads,fixed_int: int_1000,9,8,8,1577911.92472,1.57791192472,384.0,4347.4480479958265,4347.4480479958265,1669420.0504303975,0.0,1532982.0,1691125.2000000002,1736325.1333333333,1770953.85,1977479.7633333325,8,8,3508470.0,1382252.0,23002000000.0,0.0,100000.0,100000.0,38400000.0,1563904593136.0
120,query_es2_8_8.q10.reads,query_es2_8_8,es2,q10.reads,fixed_int: int_10000,10,8,8,11983214.68786,11.983214687859999,384.0,602.7836585518946,602.7836585518946,231468.92488392754,0.0,11952568.0,12210633.399999999,12367041.066666666,12532635.0,13018904.173333332,8,8,24987521.0,10991463.0,165896999000.0,0.0,100000.0,100000.0,38400000.0,1851203126622.0
121,query_es2_8_16.load.inserts,query_es2_8_16,es2,load.inserts,load,load,8,16,13019016.29246,13.019016292460002,174.4612,1168.3744406407366,1168.3744406407366,203836.00696351167,0.0,6707753.5,13908070.8,21362695.699999996,30489192.949999977,68255276.11666656,16,16,7118815710.0,2767882.0,85589000000.0,0.0,100000.0,100000.0,17446120.0,37598465715.0
122,query_es2_8_16.q1.reads,query_es2_8_16,es2,q1.reads,fixed_1: v101,1,8,16,1673022.4999,1.6730224998999998,387.0,9033.423667570009,9033.423667570009,3495934.9593495936,0.0,1654739.0,1703936.4,1766369.8333333333,1843523.0,2508755.8133333367,16,16,18409822.0,1137516.0,1107000000.0,0.0,10000.0,10000.0,3870000.0,1408178752804.0
