,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
30,query_es3_4_8.load.inserts,query_es3_4_8,es3,load.inserts,load,load,4,8,66836079.06557,66.83607906556999,156.38311,114.7606265471167,114.7606265471167,17946.62368498667,0.0,22030207.0,48351340.2,75639651.16666666,122913343.99999994,627095572.5999995,8,8,16300803991.0,10349458.0,871379000000.0,0.0,100000.0,100000.0,15638311.0,30190984791.0
31,query_es3_4_8.q1.reads,query_es3_4_8,es3,q1.reads,fixed_1: fixed_hf,1,4,8,40709731.1376,40.7097311376,355.0,195.4461095562613,195.4461095562613,69383.36889247276,0.0,40460986.0,40975344.0,41354339.5,41813815.55,46408114.25000001,8,8,93090417.0,38006525.0,51164999000.0,0.0,10000.0,10000.0,3550000.0,6996104562104.0
32,query_es3_4_8.q2.reads,query_es3_4_8,es3,q2.reads,fixed_1: uar,2,4,8,24120878.1248,24.120878124799997,366.0635,326.8721709826487,326.8721709826487,119655.97096250682,0.0,23060027.0,24088922.6,24688981.03333333,26564718.149999995,47744914.40333334,8,8,138786257.0,20710867.0,30592999000.0,0.0,10000.0,10000.0,3660635.0,7406800977636.0
33,query_es3_4_8.q3.reads,query_es3_4_8,es3,q3.reads,"uar_[1,5]: uar",3,4,8,19532372.8421,19.5323728421,366.4989,403.06328093510683,403.06328093510683,147722.24909310762,0.0,22755588.5,23885214.6,24482024.866666667,25607453.65,47981766.92,8,8,142641767.0,594731.0,24810000000.0,0.0,10000.0,10000.0,3664989.0,7654419208175.0
34,query_es3_4_8.q4.reads,query_es3_4_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,8,18839012.444,18.839012443999998,366.7971,421.40750105351873,421.40750105351873,154571.0493046776,0.0,22784126.0,23882384.8,24381709.5,24887883.5,27783148.009999998,8,8,34471101.0,600261.0,23730000000.0,0.0,10000.0,10000.0,3667971.0,7855921410025.0
35,query_es3_4_16.load.inserts,query_es3_4_16,es3,load.inserts,load,load,4,16,124321466.39146,124.32146639146002,156.38311,122.46677476400653,122.46677476400653,19151.735109264857,0.0,34669118.5,71564365.80000001,122845173.0,232813697.7999997,2184580306.7999997,16,16,30462286519.0,8315211.0,816548000000.0,0.0,100000.0,100000.0,15638311.0,103630066204.0
36,query_es3_4_16.q1.reads,query_es3_4_16,es3,q1.reads,fixed_1: fixed_hf,1,4,16,82140577.7968,82.1405777968,355.0,192.42240566491563,192.42240566491563,68309.95401104505,0.0,82189756.0,97461233.4,107421866.1,116670868.89999998,133336345.90333341,16,16,163408977.0,37598827.0,51969000000.0,0.0,10000.0,10000.0,3550000.0,13170206431816.0
37,query_es3_4_16.q2.reads,query_es3_4_16,es3,q2.reads,fixed_1: uar,2,4,16,48020032.578,48.020032578,365.9681,326.2855651265988,326.2855651265988,119410.10832680762,0.0,46638625.0,57150948.60000001,64427642.4,71207378.05,95581008.24333358,16,16,271124700.0,20268173.0,30648000000.0,0.0,10000.0,10000.0,3659681.0,14004220921084.0
38,query_es3_4_16.q3.reads,query_es3_4_16,es3,q3.reads,"uar_[1,5]: uar",3,4,16,38799156.4638,38.799156463799996,366.4863,406.371911573472,406.371911573472,148929.73829648894,0.0,42633541.0,54329450.599999994,61377954.36666667,68041696.5,89440996.08000001,16,16,286656502.0,617058.0,24608000000.0,0.0,10000.0,10000.0,3664863.0,14500686575577.0
39,query_es3_4_16.q4.reads,query_es3_4_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,16,37502549.4802,37.502549480199995,366.7532,421.1058238935444,421.1058238935444,154441.9084515939,0.0,42433320.5,53346662.2,59836059.03333333,65734242.349999994,76606320.84666668,16,16,102557901.0,623425.0,23747000000.0,0.0,10000.0,10000.0,3667532.0,14900643099556.0
